transaction_id,amount,failure_reason,payment_method,bank,retry_count,risk_score,recovery_probability,expected_recovery_value,recoverable,automatically_actionable,action,decision_reason,actual_recovered,successful_recovery,recovered_amount
test_34,697.92,expired_card,netbanking,SBI,1,0.093,0.4313,301.03,True,False,notify_customer,Action satisfies recovery policy,True,False,0.0
test_35,1641.28,temporary_bank_failure,card,AXIS,0,0.235,0.7092,1164.0,True,True,retry,Action satisfies recovery policy,True,True,1641.28
test_36,1028.27,invalid_card,card,HDFC,0,0.677,0.373,383.54,True,False,notify_customer,Action satisfies recovery policy,True,False,0.0
test_37,660.97,gateway_timeout,upi,AXIS,0,0.169,0.6901,456.12,True,True,retry,Action satisfies recovery policy,False,False,0.0
test_38,5307.91,gateway_timeout,card,SBI,1,0.388,0.4177,2216.88,True,False,request_approval,High-value transaction requires merchant approval,True,False,0.0
test_39,587.76,expired_card,upi,AXIS,2,0.164,0.1329,78.12,True,False,stop,Maximum retry count reached,False,False,0.0
test_40,862.86,bank_timeout,upi,KOTAK,2,0.105,0.2926,252.49,True,False,stop,Maximum retry count reached,False,False,0.0
test_41,2324.24,temporary_bank_failure,upi,AXIS,2,0.178,0.2924,679.59,True,False,stop,Maximum retry count reached,True,False,0.0
test_42,3111.91,card_blocked,card,SBI,0,0.034,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_43,1831.64,bank_timeout,card,KOTAK,1,0.206,0.5633,1031.85,True,True,retry,Action satisfies recovery policy,True,True,1831.64
test_44,1051.78,expired_card,card,KOTAK,1,0.22,0.4024,423.23,True,False,notify_customer,Action satisfies recovery policy,False,False,0.0
test_45,5152.09,bank_timeout,netbanking,ICICI,0,0.172,0.6793,3500.0,True,False,request_approval,High-value transaction requires merchant approval,True,False,0.0
test_46,1041.24,insufficient_funds,upi,HDFC,1,0.216,0.3264,339.9,True,False,notify_customer,Action satisfies recovery policy,False,False,0.0
test_47,2268.32,expired_card,card,KOTAK,1,0.247,0.3867,877.07,True,False,notify_customer,Action satisfies recovery policy,False,False,0.0
test_48,5499.24,card_blocked,netbanking,SBI,2,0.25,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_49,1880.66,invalid_card,card,AXIS,0,0.256,0.4832,908.82,True,False,notify_customer,Action satisfies recovery policy,False,False,0.0
test_50,1210.57,insufficient_funds,wallet,SBI,0,0.067,0.5422,656.35,True,False,notify_customer,Action satisfies recovery policy,False,False,0.0
test_51,532.49,insufficient_funds,card,SBI,0,0.056,0.5694,303.22,True,False,notify_customer,Action satisfies recovery policy,True,False,0.0
test_52,1796.41,account_closed,upi,AXIS,0,0.19,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_53,2677.36,insufficient_funds,upi,KOTAK,1,0.136,0.2849,762.84,True,False,escalate,Action satisfies recovery policy,False,False,0.0
test_54,926.02,card_blocked,upi,AXIS,0,0.334,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_55,2097.65,expired_card,upi,HDFC,2,0.167,0.2172,455.65,True,False,stop,Maximum retry count reached,False,False,0.0
test_56,2385.45,insufficient_funds,netbanking,ICICI,1,0.182,0.1975,471.23,True,False,escalate,Action satisfies recovery policy,False,False,0.0
test_57,1565.62,gateway_timeout,upi,AXIS,2,0.076,0.3966,620.9,True,False,stop,Maximum retry count reached,True,False,0.0
test_58,1286.51,account_closed,wallet,SBI,0,0.231,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_59,4489.73,card_blocked,card,KOTAK,1,0.205,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_60,1462.91,insufficient_funds,upi,AXIS,2,0.223,0.112,163.89,True,False,stop,Maximum retry count reached,False,False,0.0
test_61,4613.67,network_error,upi,KOTAK,2,0.36,0.2237,1031.98,True,False,stop,Maximum retry count reached,False,False,0.0
test_62,2837.34,gateway_timeout,upi,AXIS,2,0.409,0.3664,1039.64,True,False,stop,Maximum retry count reached,True,False,0.0
test_63,7637.36,network_error,card,KOTAK,2,0.309,0.3994,3050.07,True,False,stop,Maximum retry count reached,True,False,0.0
test_64,652.63,account_closed,card,ICICI,0,0.12,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_65,566.77,expired_card,card,HDFC,1,0.138,0.2573,145.86,True,False,escalate,Action satisfies recovery policy,False,False,0.0
test_66,5235.21,temporary_bank_failure,upi,AXIS,1,0.193,0.3957,2071.52,True,False,request_approval,High-value transaction requires merchant approval,True,False,0.0
test_67,1205.03,invalid_card,upi,KOTAK,0,0.128,0.5078,611.93,True,False,notify_customer,Action satisfies recovery policy,True,False,0.0
test_68,1774.47,account_closed,card,KOTAK,1,0.179,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_69,1743.73,expired_card,netbanking,SBI,0,0.193,0.4806,837.98,True,False,notify_customer,Action satisfies recovery policy,True,False,0.0
test_70,1489.27,expired_card,card,HDFC,0,0.176,0.551,820.62,True,False,notify_customer,Action satisfies recovery policy,True,False,0.0
test_71,848.96,insufficient_funds,upi,KOTAK,1,0.161,0.3498,296.94,True,False,notify_customer,Action satisfies recovery policy,True,False,0.0
test_72,940.34,temporary_bank_failure,wallet,HDFC,2,0.315,0.3885,365.32,True,False,stop,Maximum retry count reached,False,False,0.0
test_73,3663.47,expired_card,card,SBI,1,0.199,0.2614,957.76,True,False,escalate,Action satisfies recovery policy,False,False,0.0
test_74,1360.47,bank_timeout,upi,KOTAK,0,0.15,0.7045,958.51,True,True,retry,Action satisfies recovery policy,True,True,1360.47
test_75,2441.26,insufficient_funds,card,ICICI,0,0.045,0.4114,1004.45,True,False,notify_customer,Action satisfies recovery policy,False,False,0.0
test_76,2124.32,insufficient_funds,upi,SBI,1,0.036,0.3356,713.0,True,False,notify_customer,Action satisfies recovery policy,False,False,0.0
test_77,4269.84,account_closed,upi,SBI,1,0.207,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_78,2744.09,invalid_card,card,AXIS,0,0.186,0.4945,1356.96,True,False,notify_customer,Action satisfies recovery policy,True,False,0.0
test_79,1153.57,bank_timeout,card,ICICI,2,0.133,0.4611,531.96,True,False,stop,Maximum retry count reached,True,False,0.0
test_80,2365.05,gateway_timeout,card,KOTAK,2,0.074,0.4148,981.12,True,False,stop,Maximum retry count reached,False,False,0.0
test_81,3511.81,account_closed,netbanking,KOTAK,2,0.325,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_82,375.62,temporary_bank_failure,card,KOTAK,2,0.065,0.3677,138.1,True,False,stop,Maximum retry count reached,False,False,0.0
test_83,3243.89,bank_timeout,card,AXIS,1,0.158,0.5657,1835.01,True,True,retry,Action satisfies recovery policy,True,True,3243.89
test_84,1048.16,expired_card,upi,AXIS,1,0.171,0.343,359.55,True,False,notify_customer,Action satisfies recovery policy,True,False,0.0
test_85,5142.18,card_blocked,card,HDFC,1,0.21,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_86,2403.43,insufficient_funds,upi,ICICI,1,0.211,0.3357,806.76,True,False,notify_customer,Action satisfies recovery policy,False,False,0.0
test_87,2550.73,gateway_timeout,netbanking,KOTAK,1,0.02,0.572,1459.06,True,True,retry,Action satisfies recovery policy,True,True,2550.73
test_88,1681.26,insufficient_funds,upi,SBI,2,0.187,0.2297,386.16,True,False,stop,Maximum retry count reached,False,False,0.0
test_89,1333.26,network_error,card,ICICI,2,0.036,0.5142,685.6,True,False,stop,Maximum retry count reached,False,False,0.0
test_90,1609.58,insufficient_funds,netbanking,ICICI,1,0.09,0.2316,372.73,True,False,escalate,Action satisfies recovery policy,False,False,0.0
test_91,1499.24,expired_card,card,AXIS,2,0.163,0.1689,253.19,True,False,stop,Maximum retry count reached,True,False,0.0
test_92,2462.74,bank_timeout,card,KOTAK,1,0.116,0.4821,1187.38,True,True,retry,Action satisfies recovery policy,True,True,2462.74
test_93,877.05,insufficient_funds,upi,ICICI,0,0.123,0.5145,451.23,True,False,notify_customer,Action satisfies recovery policy,False,False,0.0
test_94,3665.01,bank_timeout,wallet,SBI,0,0.094,0.7174,2629.18,True,True,retry,Action satisfies recovery policy,True,True,3665.01
test_95,1505.84,invalid_card,upi,SBI,0,0.109,0.5183,780.43,True,False,notify_customer,Action satisfies recovery policy,True,False,0.0
test_96,14723.2,insufficient_funds,card,HDFC,0,0.185,0.3113,4584.01,True,False,notify_customer,Action satisfies recovery policy,False,False,0.0
test_97,13054.39,bank_timeout,upi,ICICI,1,0.194,0.5144,6715.34,True,False,request_approval,High-value transaction requires merchant approval,True,False,0.0
test_98,4175.23,bank_timeout,wallet,KOTAK,1,0.188,0.5582,2330.77,True,True,retry,Action satisfies recovery policy,False,False,0.0
test_99,3706.81,gateway_timeout,card,AXIS,1,0.287,0.4135,1532.69,True,True,retry,Action satisfies recovery policy,True,True,3706.81
test_100,1011.85,expired_card,card,ICICI,2,0.068,0.316,319.73,True,False,stop,Maximum retry count reached,False,False,0.0
test_101,3022.91,expired_card,wallet,SBI,0,0.048,0.5789,1750.02,True,False,notify_customer,Action satisfies recovery policy,True,False,0.0
test_102,2586.04,card_blocked,card,AXIS,1,0.372,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_103,946.6,insufficient_funds,card,AXIS,1,0.168,0.3684,348.75,True,False,notify_customer,Action satisfies recovery policy,False,False,0.0
test_104,2864.64,expired_card,card,AXIS,0,0.102,0.5639,1615.38,True,False,notify_customer,Action satisfies recovery policy,True,False,0.0
test_105,3076.41,temporary_bank_failure,upi,HDFC,0,0.211,0.505,1553.46,True,True,retry,Action satisfies recovery policy,True,True,3076.41
test_106,475.78,insufficient_funds,netbanking,ICICI,2,0.395,0.2112,100.46,True,False,stop,Maximum retry count reached,False,False,0.0
test_107,1353.96,expired_card,upi,KOTAK,2,0.285,0.1392,188.48,True,False,stop,Maximum retry count reached,False,False,0.0
test_108,2332.67,insufficient_funds,card,ICICI,0,0.054,0.4977,1161.0,True,False,notify_customer,Action satisfies recovery policy,False,False,0.0
test_109,4391.78,expired_card,card,ICICI,1,0.343,0.3618,1588.95,True,False,notify_customer,Action satisfies recovery policy,False,False,0.0
test_110,233.3,expired_card,card,ICICI,1,0.208,0.4098,95.61,True,False,notify_customer,Action satisfies recovery policy,False,False,0.0
test_111,2480.74,gateway_timeout,netbanking,ICICI,1,0.156,0.6747,1673.67,True,True,retry,Action satisfies recovery policy,True,True,2480.74
test_112,930.66,card_blocked,upi,ICICI,1,0.236,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_113,3769.64,account_closed,wallet,SBI,0,0.383,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_114,485.08,card_blocked,card,SBI,2,0.196,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_115,1364.5,gateway_timeout,netbanking,KOTAK,2,0.084,0.3887,530.36,True,False,stop,Maximum retry count reached,False,False,0.0
test_116,1051.08,gateway_timeout,wallet,AXIS,0,0.373,0.5914,621.62,True,True,retry,Action satisfies recovery policy,False,False,0.0
test_117,5042.87,expired_card,netbanking,AXIS,1,0.068,0.4086,2060.66,True,False,notify_customer,Action satisfies recovery policy,True,False,0.0
test_118,4810.05,expired_card,card,ICICI,0,0.05,0.5181,2491.86,True,False,notify_customer,Action satisfies recovery policy,False,False,0.0
test_119,1276.9,gateway_timeout,netbanking,KOTAK,2,0.096,0.4229,539.97,True,False,stop,Maximum retry count reached,False,False,0.0
test_120,386.13,network_error,upi,KOTAK,2,0.277,0.4076,157.4,True,False,stop,Maximum retry count reached,True,False,0.0
test_121,449.91,insufficient_funds,upi,ICICI,1,0.202,0.2286,102.84,True,False,escalate,Action satisfies recovery policy,False,False,0.0
test_122,1657.38,account_closed,card,HDFC,0,0.324,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_123,1130.64,temporary_bank_failure,upi,HDFC,0,0.18,0.6247,706.31,True,True,retry,Action satisfies recovery policy,False,False,0.0
test_124,779.93,account_closed,upi,KOTAK,2,0.157,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_125,731.68,temporary_bank_failure,wallet,AXIS,1,0.275,0.4653,340.47,True,True,retry,Action satisfies recovery policy,True,True,731.68
test_126,849.15,card_blocked,upi,HDFC,0,0.166,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_127,3190.1,gateway_timeout,upi,HDFC,2,0.329,0.4403,1404.57,True,False,stop,Maximum retry count reached,False,False,0.0
test_128,5540.99,bank_timeout,upi,AXIS,2,0.305,0.1891,1047.84,True,False,stop,Maximum retry count reached,False,False,0.0
test_129,2377.52,expired_card,upi,SBI,1,0.103,0.2637,627.07,True,False,escalate,Action satisfies recovery policy,False,False,0.0
test_130,3019.61,gateway_timeout,upi,SBI,2,0.37,0.2992,903.55,True,False,stop,Maximum retry count reached,False,False,0.0
test_131,2276.8,account_closed,upi,HDFC,1,0.666,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_132,1719.5,account_closed,card,HDFC,1,0.28,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_133,3850.63,insufficient_funds,upi,AXIS,2,0.026,0.1277,491.75,True,False,stop,Maximum retry count reached,False,False,0.0
test_134,3328.94,insufficient_funds,upi,ICICI,2,0.01,0.1813,603.43,True,False,stop,Maximum retry count reached,True,False,0.0
test_135,1351.33,bank_timeout,card,HDFC,2,0.252,0.3524,476.17,True,False,stop,Maximum retry count reached,False,False,0.0
test_136,2124.75,network_error,card,HDFC,2,0.273,0.3397,721.68,True,False,stop,Maximum retry count reached,False,False,0.0
test_137,4131.45,bank_timeout,card,AXIS,2,0.236,0.3161,1305.92,True,False,stop,Maximum retry count reached,True,False,0.0
test_138,1353.33,bank_timeout,netbanking,HDFC,2,0.122,0.2855,386.34,True,False,stop,Maximum retry count reached,False,False,0.0
test_139,2453.95,insufficient_funds,wallet,KOTAK,1,0.262,0.3319,814.49,True,False,notify_customer,Action satisfies recovery policy,False,False,0.0
test_140,1025.34,account_closed,card,KOTAK,2,0.154,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_141,783.14,bank_timeout,upi,ICICI,0,0.147,0.7049,552.03,True,True,retry,Action satisfies recovery policy,True,True,783.14
test_142,502.38,account_closed,netbanking,ICICI,1,0.317,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_143,1928.84,insufficient_funds,card,HDFC,0,0.106,0.5394,1040.42,True,False,notify_customer,Action satisfies recovery policy,True,False,0.0
test_144,2574.78,card_blocked,upi,AXIS,2,0.04,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_145,6121.53,bank_timeout,card,SBI,2,0.424,0.3572,2186.36,True,False,stop,Maximum retry count reached,True,False,0.0
test_146,453.98,account_closed,card,SBI,1,0.25,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_147,1145.29,gateway_timeout,card,KOTAK,0,0.099,0.7749,887.47,True,True,retry,Action satisfies recovery policy,True,True,1145.29
test_148,3840.5,insufficient_funds,card,AXIS,1,0.101,0.3856,1480.87,True,False,notify_customer,Action satisfies recovery policy,True,False,0.0
test_149,1641.96,temporary_bank_failure,netbanking,ICICI,0,0.224,0.717,1177.27,True,True,retry,Action satisfies recovery policy,True,True,1641.96
test_150,2567.99,bank_timeout,card,ICICI,2,0.075,0.4775,1226.14,True,False,stop,Maximum retry count reached,False,False,0.0
test_151,2189.19,card_blocked,upi,SBI,2,0.038,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_152,2507.78,network_error,netbanking,HDFC,0,0.084,0.7402,1856.17,True,True,retry,Action satisfies recovery policy,True,True,2507.78
test_153,1888.58,expired_card,card,HDFC,0,0.154,0.5565,1051.03,True,False,notify_customer,Action satisfies recovery policy,True,False,0.0
test_154,1608.77,insufficient_funds,card,SBI,1,0.131,0.2901,466.69,True,False,escalate,Action satisfies recovery policy,False,False,0.0
test_155,601.19,expired_card,upi,ICICI,1,0.403,0.3283,197.38,True,False,notify_customer,Action satisfies recovery policy,True,False,0.0
test_156,1677.37,account_closed,card,KOTAK,1,0.422,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_157,1544.41,invalid_card,netbanking,SBI,0,0.078,0.3565,550.62,True,False,notify_customer,Action satisfies recovery policy,False,False,0.0
test_158,338.49,bank_timeout,upi,AXIS,0,0.23,0.6648,225.04,True,True,retry,Action satisfies recovery policy,False,False,0.0
test_159,841.48,card_blocked,upi,AXIS,1,0.025,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_160,494.8,gateway_timeout,wallet,HDFC,1,0.369,0.4492,222.24,True,True,retry,Action satisfies recovery policy,True,True,494.8
test_161,459.81,bank_timeout,card,SBI,1,0.079,0.6317,290.45,True,True,retry,Action satisfies recovery policy,False,False,0.0
test_162,3263.18,temporary_bank_failure,upi,AXIS,0,0.383,0.623,2033.06,True,True,retry,Action satisfies recovery policy,False,False,0.0
test_163,2052.29,network_error,netbanking,ICICI,1,0.162,0.6101,1252.08,True,True,retry,Action satisfies recovery policy,True,True,2052.29
test_164,667.76,account_closed,card,ICICI,0,0.267,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_165,1640.81,insufficient_funds,upi,ICICI,2,0.051,0.265,434.74,True,False,stop,Maximum retry count reached,False,False,0.0
test_166,621.42,invalid_card,netbanking,ICICI,1,0.271,0.2555,158.8,True,False,escalate,Action satisfies recovery policy,False,False,0.0
test_167,761.93,card_blocked,upi,KOTAK,2,0.081,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_168,2405.54,invalid_card,card,SBI,2,0.185,0.2114,508.42,True,False,stop,Maximum retry count reached,False,False,0.0
test_169,914.23,network_error,card,KOTAK,2,0.182,0.4749,434.17,True,False,stop,Maximum retry count reached,True,False,0.0
test_170,665.88,bank_timeout,card,HDFC,0,0.221,0.704,468.77,True,True,retry,Action satisfies recovery policy,False,False,0.0
test_171,1700.41,bank_timeout,card,SBI,0,0.19,0.5821,989.87,True,True,retry,Action satisfies recovery policy,False,False,0.0
test_172,1255.46,temporary_bank_failure,card,HDFC,1,0.162,0.4572,574.03,True,True,retry,Action satisfies recovery policy,False,False,0.0
test_173,1332.06,expired_card,upi,HDFC,2,0.2,0.2467,328.6,True,False,stop,Maximum retry count reached,True,False,0.0
test_174,687.66,gateway_timeout,card,KOTAK,0,0.179,0.7867,540.99,True,True,retry,Action satisfies recovery policy,False,False,0.0
test_175,686.73,temporary_bank_failure,upi,ICICI,2,0.376,0.3239,222.46,True,False,stop,Maximum retry count reached,False,False,0.0
test_176,1556.61,network_error,card,SBI,2,0.142,0.3373,524.99,True,False,stop,Maximum retry count reached,False,False,0.0
test_177,1736.97,network_error,card,AXIS,1,0.331,0.4891,849.51,True,True,retry,Action satisfies recovery policy,False,False,0.0
test_178,978.55,bank_timeout,upi,AXIS,1,0.126,0.4473,437.73,True,True,retry,Action satisfies recovery policy,True,True,978.55
test_179,1289.76,temporary_bank_failure,upi,AXIS,2,0.101,0.3276,422.52,True,False,stop,Maximum retry count reached,True,False,0.0
test_180,5731.28,insufficient_funds,card,HDFC,2,0.329,0.1191,682.45,True,False,stop,Maximum retry count reached,False,False,0.0
test_181,1518.62,bank_timeout,upi,AXIS,1,0.247,0.4354,661.17,True,True,retry,Action satisfies recovery policy,True,True,1518.62
test_182,4555.46,account_closed,netbanking,SBI,2,0.551,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_183,2270.05,bank_timeout,wallet,ICICI,0,0.086,0.597,1355.31,True,True,retry,Action satisfies recovery policy,True,True,2270.05
test_184,2395.85,expired_card,upi,AXIS,0,0.441,0.4374,1047.88,True,False,notify_customer,Action satisfies recovery policy,True,False,0.0
test_185,2760.72,temporary_bank_failure,card,ICICI,2,0.253,0.4331,1195.77,True,False,stop,Maximum retry count reached,True,False,0.0
test_186,1150.88,expired_card,card,HDFC,2,0.194,0.2387,274.76,True,False,stop,Maximum retry count reached,False,False,0.0
test_187,5402.99,insufficient_funds,card,KOTAK,0,0.255,0.4956,2677.53,True,False,notify_customer,Action satisfies recovery policy,True,False,0.0
test_188,567.22,card_blocked,netbanking,SBI,0,0.144,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_189,4835.72,card_blocked,upi,KOTAK,1,0.069,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_190,1340.48,insufficient_funds,card,KOTAK,1,0.063,0.4073,545.99,True,False,notify_customer,Action satisfies recovery policy,True,False,0.0
test_191,1583.54,temporary_bank_failure,upi,SBI,2,0.273,0.3961,627.22,True,False,stop,Maximum retry count reached,False,False,0.0
test_192,1781.47,insufficient_funds,card,AXIS,0,0.063,0.5165,920.05,True,False,notify_customer,Action satisfies recovery policy,False,False,0.0
test_193,884.89,gateway_timeout,card,KOTAK,0,0.088,0.6969,616.72,True,True,retry,Action satisfies recovery policy,True,True,884.89
test_194,1624.0,invalid_card,card,ICICI,2,0.318,0.2221,360.73,True,False,stop,Maximum retry count reached,False,False,0.0
test_195,2003.36,card_blocked,netbanking,SBI,2,0.193,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_196,4741.1,bank_timeout,card,SBI,0,0.243,0.5298,2511.85,True,True,retry,Action satisfies recovery policy,True,True,4741.1
test_197,381.3,card_blocked,card,ICICI,0,0.246,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_198,1901.22,gateway_timeout,card,SBI,0,0.13,0.7174,1363.85,True,True,retry,Action satisfies recovery policy,False,False,0.0
test_199,438.46,insufficient_funds,card,ICICI,0,0.372,0.2907,127.44,True,False,escalate,Action satisfies recovery policy,False,False,0.0
test_200,3549.91,account_closed,upi,AXIS,2,0.148,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_201,2070.34,insufficient_funds,upi,AXIS,1,0.251,0.2089,432.48,True,False,escalate,Action satisfies recovery policy,False,False,0.0
test_202,2202.03,insufficient_funds,wallet,ICICI,2,0.133,0.2553,562.09,True,False,stop,Maximum retry count reached,False,False,0.0
test_203,24203.82,expired_card,card,KOTAK,2,0.169,0.2123,5137.26,True,False,stop,Maximum retry count reached,True,False,0.0
test_204,2667.57,bank_timeout,upi,HDFC,2,0.262,0.3685,983.01,True,False,stop,Maximum retry count reached,False,False,0.0
test_205,3012.23,insufficient_funds,card,HDFC,2,0.501,0.1184,356.78,True,False,stop,Maximum retry count reached,False,False,0.0
test_206,1864.61,expired_card,card,HDFC,0,0.262,0.5336,994.94,True,False,notify_customer,Action satisfies recovery policy,True,False,0.0
test_207,1034.74,bank_timeout,card,SBI,0,0.143,0.7366,762.22,True,True,retry,Action satisfies recovery policy,True,True,1034.74
test_208,451.47,card_blocked,card,SBI,1,0.088,0.0,0.0,False,False,stop,Failure classified as permanent,False,False,0.0
test_209,1143.69,gateway_timeout,upi,KOTAK,1,0.081,0.6647,760.17,True,True,retry,Action satisfies recovery policy,False,False,0.0
test_210,2278.08,insufficient_funds,upi,KOTAK,0,0.219,0.3319,756.06,True,False,notify_customer,Action satisfies recovery policy,True,False,0.0
