transaction_id,customer_id,amount,payment_method,bank,failure_reason,retry_count,previous_transactions,previous_successful_transactions,risk_score,recovered
pay_000034,cust_01807,147.61,upi,ICICI,insufficient_funds,0,4,4,0.158,0
pay_000035,cust_00190,5803.09,wallet,KOTAK,expired_card,1,8,8,0.179,0
pay_000036,cust_02735,2701.44,upi,SBI,bank_timeout,2,2,2,0.226,0
pay_000037,cust_00563,3058.03,card,KOTAK,invalid_card,0,11,2,0.134,0
pay_000038,cust_01900,810.73,upi,SBI,bank_timeout,2,17,9,0.125,0
pay_000039,cust_01268,1747.12,upi,SBI,card_blocked,2,1,0,0.312,0
pay_000040,cust_02880,2098.9,wallet,AXIS,invalid_card,0,9,5,0.336,1
pay_000041,cust_01529,1494.79,card,SBI,insufficient_funds,2,6,4,0.287,0
pay_000042,cust_00647,451.47,card,SBI,card_blocked,1,17,14,0.088,0
pay_000043,cust_02069,16563.45,card,KOTAK,network_error,2,15,15,0.141,0
pay_000044,cust_02889,3528.62,upi,SBI,card_blocked,1,12,3,0.28,0
pay_000045,cust_02215,2531.25,card,ICICI,expired_card,0,0,0,0.064,0
pay_000046,cust_01298,5172.48,upi,ICICI,bank_timeout,1,6,6,0.055,0
pay_000047,cust_02436,3027.08,netbanking,AXIS,insufficient_funds,2,10,3,0.152,0
pay_000048,cust_00601,1051.78,card,KOTAK,expired_card,1,5,5,0.22,0
pay_000049,cust_02364,4913.91,upi,HDFC,insufficient_funds,2,4,4,0.185,0
pay_000050,cust_02062,3575.19,netbanking,KOTAK,gateway_timeout,1,9,3,0.171,0
pay_000051,cust_00242,1084.17,upi,HDFC,network_error,0,2,2,0.126,0
pay_000052,cust_02042,3401.64,card,SBI,network_error,0,14,8,0.184,1
pay_000053,cust_02825,1491.51,card,HDFC,card_blocked,1,11,1,0.296,0
pay_000054,cust_02613,2136.2,upi,SBI,network_error,0,4,4,0.196,1
pay_000055,cust_02946,2921.11,card,KOTAK,card_blocked,1,13,13,0.507,0
pay_000056,cust_01364,5403.48,upi,KOTAK,network_error,2,11,11,0.197,1
pay_000057,cust_02140,1078.37,wallet,AXIS,gateway_timeout,1,10,10,0.386,1
pay_000058,cust_01391,2421.08,upi,AXIS,bank_timeout,2,12,12,0.065,0
pay_000059,cust_01479,9068.67,card,SBI,account_closed,1,9,9,0.342,0
pay_000060,cust_02557,1570.52,card,SBI,bank_timeout,2,9,9,0.081,1
pay_000061,cust_00776,2115.92,netbanking,ICICI,temporary_bank_failure,0,13,10,0.099,1
pay_000062,cust_00035,9057.83,netbanking,ICICI,account_closed,1,19,12,0.252,0
pay_000063,cust_02254,3010.86,upi,ICICI,invalid_card,0,15,9,0.081,1
pay_000064,cust_01956,556.03,card,KOTAK,account_closed,0,11,6,0.296,0
pay_000065,cust_01586,956.82,upi,HDFC,card_blocked,2,17,0,0.102,0
pay_000066,cust_01022,3139.01,card,SBI,card_blocked,0,3,3,0.05,0
pay_000067,cust_02614,2536.15,card,AXIS,invalid_card,2,9,3,0.087,0
pay_000068,cust_01130,2059.18,card,SBI,insufficient_funds,0,0,0,0.466,1
pay_000069,cust_01501,10188.14,card,HDFC,insufficient_funds,0,17,17,0.2,1
pay_000070,cust_00703,1103.24,card,SBI,bank_timeout,1,14,14,0.129,1
pay_000071,cust_02450,1703.55,card,AXIS,expired_card,1,16,14,0.174,0
pay_000072,cust_02778,375.97,card,AXIS,network_error,2,0,0,0.248,1
pay_000073,cust_01580,4575.76,upi,HDFC,account_closed,0,13,6,0.117,0
pay_000074,cust_00162,954.24,upi,AXIS,insufficient_funds,0,11,0,0.45,1
pay_000075,cust_00202,4212.07,card,KOTAK,card_blocked,1,10,0,0.629,0
pay_000076,cust_01982,3872.38,netbanking,AXIS,network_error,2,19,0,0.148,0
pay_000077,cust_00996,11840.48,card,HDFC,expired_card,1,18,18,0.4,0
pay_000078,cust_02318,3039.42,card,HDFC,insufficient_funds,0,3,3,0.123,0
pay_000079,cust_00816,1359.85,card,SBI,card_blocked,2,16,14,0.253,0
pay_000080,cust_00456,2599.04,upi,AXIS,network_error,0,17,12,0.273,1
pay_000081,cust_01276,984.96,card,AXIS,bank_timeout,1,3,3,0.128,1
pay_000082,cust_01017,2333.98,card,HDFC,insufficient_funds,2,0,0,0.194,0
pay_000083,cust_02344,1539.6,upi,SBI,insufficient_funds,1,5,5,0.418,0
pay_000084,cust_02768,1709.11,upi,SBI,temporary_bank_failure,0,6,6,0.64,0
pay_000085,cust_00338,881.22,upi,KOTAK,card_blocked,0,0,0,0.09,0
pay_000086,cust_00879,2299.29,upi,KOTAK,bank_timeout,1,5,5,0.196,0
pay_000087,cust_01077,3496.03,wallet,HDFC,insufficient_funds,0,2,2,0.242,1
pay_000088,cust_00792,482.18,card,SBI,network_error,1,15,10,0.22,0
pay_000089,cust_02265,1042.24,card,SBI,bank_timeout,1,1,1,0.16,1
pay_000090,cust_00764,2068.21,wallet,KOTAK,card_blocked,2,1,1,0.095,0
pay_000091,cust_02236,276.48,upi,KOTAK,insufficient_funds,0,10,2,0.095,0
pay_000092,cust_00380,7275.09,upi,HDFC,account_closed,0,19,11,0.257,0
pay_000093,cust_00493,1023.63,card,SBI,account_closed,1,10,10,0.083,0
pay_000094,cust_01181,853.66,card,HDFC,account_closed,2,7,7,0.241,0
pay_000095,cust_02063,1531.69,card,KOTAK,insufficient_funds,1,18,6,0.142,1
pay_000096,cust_00065,2018.07,card,AXIS,account_closed,0,14,9,0.143,0
pay_000097,cust_02569,987.15,card,KOTAK,temporary_bank_failure,2,19,15,0.267,0
pay_000098,cust_01368,3961.31,card,SBI,gateway_timeout,2,13,13,0.187,1
pay_000099,cust_01153,2489.32,upi,HDFC,network_error,1,17,14,0.123,1
pay_000100,cust_02028,925.38,card,SBI,gateway_timeout,1,19,12,0.373,1
pay_000101,cust_02696,1190.44,card,KOTAK,card_blocked,2,4,3,0.193,0
pay_000102,cust_01496,537.31,card,KOTAK,insufficient_funds,0,1,1,0.303,1
pay_000103,cust_01163,663.37,card,ICICI,account_closed,0,1,1,0.291,0
pay_000104,cust_01523,2465.32,card,KOTAK,network_error,2,1,1,0.075,1
pay_000105,cust_02641,933.1,card,SBI,card_blocked,1,1,0,0.135,0
pay_000106,cust_00392,7657.4,card,HDFC,bank_timeout,1,8,8,0.334,1
pay_000107,cust_01699,1913.59,upi,HDFC,card_blocked,0,11,2,0.04,0
pay_000108,cust_00419,612.62,card,ICICI,account_closed,0,19,13,0.172,0
pay_000109,cust_02337,724.38,upi,SBI,bank_timeout,2,17,10,0.149,0
pay_000110,cust_00379,4198.05,netbanking,KOTAK,insufficient_funds,0,2,2,0.179,0
pay_000111,cust_01797,1700.69,upi,AXIS,invalid_card,0,18,1,0.083,0
pay_000112,cust_02279,3998.19,card,HDFC,gateway_timeout,1,15,8,0.35,1
pay_000113,cust_02089,1348.58,card,SBI,bank_timeout,1,10,10,0.109,1
pay_000114,cust_02183,1154.95,upi,ICICI,account_closed,0,14,14,0.269,0
pay_000115,cust_00201,4427.36,wallet,AXIS,insufficient_funds,1,10,10,0.114,0
pay_000116,cust_01864,909.72,wallet,SBI,network_error,1,9,9,0.179,0
pay_000117,cust_00780,2673.77,card,KOTAK,bank_timeout,1,18,9,0.243,1
pay_000118,cust_02978,1526.26,upi,HDFC,expired_card,0,4,4,0.116,1
pay_000119,cust_00503,3651.81,netbanking,KOTAK,bank_timeout,1,13,10,0.09,1
pay_000120,cust_02455,7744.88,netbanking,ICICI,invalid_card,0,8,6,0.284,0
pay_000121,cust_01752,1321.15,upi,HDFC,invalid_card,0,5,0,0.109,0
pay_000122,cust_00805,1167.11,card,AXIS,temporary_bank_failure,2,0,0,0.205,0
pay_000123,cust_02147,3079.88,card,HDFC,insufficient_funds,2,11,2,0.005,0
pay_000124,cust_02732,760.82,upi,KOTAK,expired_card,2,13,13,0.273,0
pay_000125,cust_01896,6589.1,upi,SBI,card_blocked,0,3,3,0.244,0
pay_000126,cust_02774,5749.21,wallet,SBI,insufficient_funds,2,14,3,0.115,0
pay_000127,cust_01571,812.98,netbanking,SBI,card_blocked,1,16,4,0.052,0
pay_000128,cust_00961,509.54,card,ICICI,temporary_bank_failure,2,19,14,0.158,0
pay_000129,cust_02661,714.47,upi,ICICI,insufficient_funds,0,11,10,0.171,0
pay_000130,cust_01486,723.21,card,SBI,bank_timeout,1,0,0,0.27,0
pay_000131,cust_02691,3433.75,upi,AXIS,insufficient_funds,1,12,7,0.102,1
pay_000132,cust_01029,6243.75,upi,KOTAK,insufficient_funds,1,9,9,0.39,0
pay_000133,cust_00503,3401.94,card,AXIS,account_closed,2,3,3,0.61,0
pay_000134,cust_02815,1496.74,card,SBI,card_blocked,2,5,5,0.009,0
pay_000135,cust_00398,2377.96,card,KOTAK,card_blocked,2,8,8,0.136,0
pay_000136,cust_00871,901.61,card,ICICI,network_error,2,17,13,0.227,0
pay_000137,cust_02843,4349.28,netbanking,HDFC,temporary_bank_failure,1,1,1,0.127,1
pay_000138,cust_00393,2554.53,card,HDFC,temporary_bank_failure,0,5,0,0.148,0
pay_000139,cust_00207,3356.18,card,KOTAK,network_error,2,10,8,0.051,0
pay_000140,cust_01039,1010.27,card,AXIS,network_error,0,12,7,0.19,1
pay_000141,cust_01882,1579.91,netbanking,KOTAK,insufficient_funds,1,5,5,0.12,0
pay_000142,cust_02940,3229.42,card,AXIS,account_closed,0,11,2,0.382,0
pay_000143,cust_01485,5737.68,card,AXIS,insufficient_funds,0,18,2,0.23,0
pay_000144,cust_00864,1111.56,upi,HDFC,account_closed,2,17,1,0.099,0
pay_000145,cust_02791,3375.71,card,ICICI,card_blocked,2,18,3,0.226,0
pay_000146,cust_00564,1022.84,card,SBI,gateway_timeout,1,11,8,0.355,0
pay_000147,cust_01021,9835.51,upi,ICICI,account_closed,2,19,14,0.098,0
pay_000148,cust_00096,1297.43,card,SBI,bank_timeout,0,12,12,0.07,1
pay_000149,cust_01924,3025.42,netbanking,HDFC,insufficient_funds,0,19,16,0.194,0
pay_000150,cust_01758,2064.18,upi,SBI,temporary_bank_failure,0,3,3,0.318,1
pay_000151,cust_02533,14533.95,upi,AXIS,network_error,0,5,0,0.093,0
pay_000152,cust_02279,2173.12,card,KOTAK,gateway_timeout,2,12,5,0.132,0
pay_000153,cust_02797,1197.46,netbanking,SBI,gateway_timeout,1,9,9,0.182,1
pay_000154,cust_01679,3015.75,upi,ICICI,invalid_card,2,2,2,0.084,1
pay_000155,cust_00541,2962.51,card,HDFC,account_closed,0,8,2,0.084,0
pay_000156,cust_01060,1594.04,card,HDFC,expired_card,1,14,14,0.071,1
pay_000157,cust_02573,753.09,upi,KOTAK,expired_card,1,4,0,0.213,0
pay_000158,cust_01184,1185.12,upi,AXIS,bank_timeout,0,8,3,0.199,1
pay_000159,cust_01723,3659.93,netbanking,AXIS,insufficient_funds,0,14,14,0.249,1
pay_000160,cust_01820,446.77,upi,HDFC,temporary_bank_failure,2,12,5,0.098,1
pay_000161,cust_02626,1482.62,upi,AXIS,temporary_bank_failure,1,2,2,0.116,1
pay_000162,cust_02730,4007.37,card,KOTAK,bank_timeout,1,18,6,0.334,0
pay_000163,cust_02605,1677.74,upi,HDFC,expired_card,2,1,1,0.082,0
pay_000164,cust_01598,10290.41,wallet,AXIS,insufficient_funds,0,17,0,0.177,0
pay_000165,cust_02694,447.77,upi,SBI,network_error,1,13,13,0.076,0
pay_000166,cust_00796,837.91,card,SBI,network_error,2,12,12,0.018,1
pay_000167,cust_01052,283.81,card,AXIS,invalid_card,1,7,3,0.134,0
pay_000168,cust_01644,8910.2,card,SBI,invalid_card,2,9,9,0.439,1
pay_000169,cust_01364,848.96,upi,KOTAK,insufficient_funds,1,1,1,0.161,1
pay_000170,cust_01982,368.88,netbanking,ICICI,bank_timeout,0,9,9,0.178,1
pay_000171,cust_01355,1108.17,card,KOTAK,bank_timeout,0,1,1,0.229,1
pay_000172,cust_01664,593.33,card,KOTAK,temporary_bank_failure,1,3,3,0.319,1
pay_000173,cust_01530,1114.51,upi,AXIS,invalid_card,1,8,8,0.167,0
pay_000174,cust_02039,1868.67,netbanking,KOTAK,insufficient_funds,1,9,7,0.116,0
pay_000175,cust_01497,3442.44,card,AXIS,expired_card,2,3,3,0.394,1
pay_000176,cust_02238,1572.25,card,HDFC,insufficient_funds,0,2,2,0.134,0
pay_000177,cust_01409,1845.0,card,AXIS,invalid_card,2,6,6,0.187,0
pay_000178,cust_01401,1135.38,upi,AXIS,insufficient_funds,0,15,15,0.251,1
pay_000179,cust_01307,539.5,netbanking,HDFC,bank_timeout,0,4,4,0.133,1
pay_000180,cust_02681,412.72,card,ICICI,bank_timeout,2,12,12,0.206,0
pay_000181,cust_02676,1350.74,upi,HDFC,account_closed,0,9,7,0.247,0
pay_000182,cust_00973,1934.71,upi,AXIS,insufficient_funds,0,1,1,0.163,0
pay_000183,cust_01769,1272.97,upi,SBI,temporary_bank_failure,1,15,3,0.167,0
pay_000184,cust_01283,425.19,card,AXIS,invalid_card,2,19,8,0.33,0
pay_000185,cust_00710,2124.14,netbanking,HDFC,bank_timeout,2,0,0,0.326,0
pay_000186,cust_01480,6657.13,upi,AXIS,expired_card,0,5,5,0.272,1
pay_000187,cust_01435,1649.59,upi,HDFC,card_blocked,2,18,3,0.079,0
pay_000188,cust_00649,1137.26,upi,KOTAK,network_error,0,0,0,0.326,1
pay_000189,cust_00318,1722.63,wallet,ICICI,bank_timeout,0,4,4,0.139,1
pay_000190,cust_01258,747.32,upi,ICICI,insufficient_funds,2,11,5,0.169,0
pay_000191,cust_00684,709.73,card,HDFC,expired_card,0,16,9,0.202,0
pay_000192,cust_00664,2594.45,card,ICICI,bank_timeout,1,18,1,0.15,0
pay_000193,cust_01999,3992.84,card,SBI,insufficient_funds,2,7,7,0.236,0
pay_000194,cust_01632,1607.32,card,SBI,bank_timeout,2,9,9,0.133,0
pay_000195,cust_01496,372.78,wallet,ICICI,network_error,0,2,2,0.313,1
pay_000196,cust_01137,2398.69,netbanking,HDFC,expired_card,2,8,8,0.303,1
pay_000197,cust_01854,9451.28,card,SBI,invalid_card,2,6,4,0.182,0
pay_000198,cust_01521,1487.54,card,ICICI,expired_card,1,5,0,0.232,0
pay_000199,cust_02490,1568.26,card,AXIS,bank_timeout,1,14,9,0.189,1
pay_000200,cust_00564,899.55,netbanking,SBI,invalid_card,2,12,1,0.207,0
pay_000201,cust_01292,2657.35,card,KOTAK,gateway_timeout,0,13,13,0.126,1
pay_000202,cust_01637,1057.02,upi,SBI,insufficient_funds,1,4,4,0.145,1
pay_000203,cust_00699,4093.69,netbanking,ICICI,gateway_timeout,1,1,1,0.126,1
pay_000204,cust_02161,1068.42,card,ICICI,account_closed,1,6,6,0.2,0
pay_000205,cust_00002,2376.62,netbanking,ICICI,expired_card,0,0,0,0.113,1
pay_000206,cust_00642,1742.24,card,HDFC,insufficient_funds,2,15,6,0.107,0
pay_000207,cust_02268,6273.5,upi,HDFC,account_closed,2,6,6,0.055,0
pay_000208,cust_01590,2508.86,card,AXIS,invalid_card,1,14,11,0.264,1
pay_000209,cust_00855,5484.09,card,AXIS,bank_timeout,2,5,1,0.119,1
pay_000210,cust_01760,1972.19,wallet,SBI,insufficient_funds,1,19,4,0.216,0
pay_000211,cust_02433,1577.2,upi,ICICI,bank_timeout,1,18,14,0.121,0
pay_000212,cust_01662,1753.64,card,AXIS,temporary_bank_failure,0,8,8,0.594,1
pay_000213,cust_01154,975.42,card,ICICI,invalid_card,0,5,1,0.159,0
pay_000214,cust_01077,2766.49,card,SBI,card_blocked,1,16,14,0.128,0
pay_000215,cust_01708,1040.77,upi,HDFC,network_error,0,4,4,0.123,1
pay_000216,cust_02778,1978.26,card,AXIS,bank_timeout,0,14,4,0.087,0
pay_000217,cust_01696,3583.74,netbanking,KOTAK,gateway_timeout,0,6,6,0.19,1
pay_000218,cust_01734,6417.85,card,KOTAK,temporary_bank_failure,2,13,7,0.316,0
pay_000219,cust_01440,2059.64,card,KOTAK,expired_card,2,19,6,0.016,0
pay_000220,cust_02295,3601.0,upi,KOTAK,insufficient_funds,0,17,2,0.212,1
pay_000221,cust_00836,3273.16,upi,KOTAK,gateway_timeout,2,16,7,0.268,1
pay_000222,cust_00203,1331.55,netbanking,KOTAK,network_error,1,17,4,0.087,0
pay_000223,cust_00123,9761.9,upi,KOTAK,account_closed,1,1,1,0.15,0
pay_000224,cust_00401,1140.25,card,AXIS,network_error,0,17,1,0.355,1
pay_000225,cust_00767,1944.57,upi,KOTAK,bank_timeout,0,13,9,0.111,1
pay_000226,cust_00294,5786.57,card,KOTAK,insufficient_funds,2,3,3,0.04,0
pay_000227,cust_02328,5673.53,card,SBI,temporary_bank_failure,0,6,6,0.023,1
pay_000228,cust_02932,1828.88,card,AXIS,expired_card,0,6,5,0.208,0
pay_000229,cust_00198,3993.14,upi,SBI,bank_timeout,1,0,0,0.163,0
pay_000230,cust_01931,1511.45,card,ICICI,card_blocked,1,7,7,0.36,0
pay_000231,cust_02800,1222.99,card,KOTAK,network_error,2,19,18,0.116,1
pay_000232,cust_02192,685.24,card,HDFC,temporary_bank_failure,2,9,9,0.168,0
pay_000233,cust_00609,3226.34,card,KOTAK,insufficient_funds,2,8,1,0.289,0
pay_000234,cust_01148,3510.02,card,KOTAK,account_closed,0,6,4,0.058,0
pay_000235,cust_00187,1147.9,card,SBI,expired_card,0,2,2,0.121,0
pay_000236,cust_02512,2240.56,card,ICICI,bank_timeout,0,11,0,0.37,0
pay_000237,cust_01795,15074.97,card,SBI,gateway_timeout,0,2,2,0.363,0
pay_000238,cust_00660,4524.88,card,AXIS,insufficient_funds,1,4,4,0.161,1
pay_000239,cust_02812,879.02,netbanking,ICICI,expired_card,2,6,6,0.495,0
pay_000240,cust_01956,4028.9,upi,ICICI,insufficient_funds,2,11,2,0.28,0
pay_000241,cust_02451,882.28,upi,ICICI,insufficient_funds,1,16,5,0.026,1
pay_000242,cust_01370,178.36,netbanking,SBI,invalid_card,1,13,12,0.166,0
pay_000243,cust_01987,1778.76,card,KOTAK,gateway_timeout,0,2,2,0.47,1
pay_000244,cust_01535,6314.23,card,KOTAK,card_blocked,2,0,0,0.083,0
pay_000245,cust_00147,5530.08,netbanking,KOTAK,card_blocked,2,17,17,0.112,0
pay_000246,cust_02912,2444.97,upi,KOTAK,expired_card,1,13,4,0.373,0
pay_000247,cust_01735,1172.18,wallet,KOTAK,account_closed,2,12,5,0.172,0
pay_000248,cust_01844,2668.2,netbanking,AXIS,gateway_timeout,1,11,1,0.09,1
pay_000249,cust_00489,1457.78,card,HDFC,insufficient_funds,2,4,4,0.102,0
pay_000250,cust_02977,1198.8,wallet,ICICI,temporary_bank_failure,1,2,2,0.12,0
pay_000251,cust_01960,4228.5,netbanking,HDFC,account_closed,0,13,9,0.115,0
pay_000252,cust_01664,1186.98,card,AXIS,insufficient_funds,2,6,6,0.251,0
pay_000253,cust_02599,4455.03,wallet,KOTAK,insufficient_funds,0,6,6,0.383,0
pay_000254,cust_02386,1125.8,card,AXIS,account_closed,1,16,1,0.606,0
pay_000255,cust_02920,9384.3,upi,AXIS,invalid_card,2,5,5,0.151,0
pay_000256,cust_00641,486.62,card,HDFC,temporary_bank_failure,2,14,1,0.285,1
pay_000257,cust_01803,840.99,card,ICICI,bank_timeout,0,18,1,0.248,0
pay_000258,cust_02521,1596.72,upi,SBI,network_error,0,14,12,0.166,1
pay_000259,cust_01970,369.73,card,SBI,temporary_bank_failure,1,6,3,0.024,1
pay_000260,cust_02199,231.18,upi,ICICI,temporary_bank_failure,0,4,4,0.085,1
pay_000261,cust_01439,372.29,upi,KOTAK,bank_timeout,2,14,13,0.149,0
pay_000262,cust_01635,1431.29,card,AXIS,gateway_timeout,2,19,19,0.211,1
pay_000263,cust_00263,1460.64,card,KOTAK,bank_timeout,2,12,4,0.359,0
pay_000264,cust_01788,2359.96,upi,AXIS,network_error,2,6,0,0.118,1
pay_000265,cust_02192,1544.41,netbanking,SBI,invalid_card,0,12,0,0.078,0
pay_000266,cust_02394,2297.58,upi,ICICI,insufficient_funds,0,12,12,0.05,0
pay_000267,cust_00624,1261.21,upi,HDFC,gateway_timeout,1,12,5,0.433,1
pay_000268,cust_01017,3203.03,upi,HDFC,network_error,0,7,7,0.118,1
pay_000269,cust_00881,2908.66,card,ICICI,account_closed,1,4,4,0.105,0
pay_000270,cust_02050,1392.21,upi,SBI,account_closed,0,3,0,0.235,0
pay_000271,cust_02945,2769.46,wallet,AXIS,insufficient_funds,0,16,11,0.036,0
pay_000272,cust_01328,1552.28,upi,HDFC,card_blocked,2,19,19,0.087,0
pay_000273,cust_02302,534.93,card,SBI,insufficient_funds,0,13,13,0.232,0
pay_000274,cust_00453,3727.89,upi,ICICI,bank_timeout,1,10,1,0.167,1
pay_000275,cust_01184,875.28,upi,KOTAK,bank_timeout,2,9,9,0.079,1
pay_000276,cust_02057,3696.19,upi,SBI,bank_timeout,0,0,0,0.152,1
pay_000277,cust_01683,2343.08,upi,SBI,insufficient_funds,2,6,6,0.239,0
pay_000278,cust_02864,1689.83,upi,KOTAK,temporary_bank_failure,2,5,5,0.367,1
pay_000279,cust_02256,402.79,card,SBI,expired_card,2,6,1,0.067,0
pay_000280,cust_01155,6196.85,card,HDFC,insufficient_funds,1,14,14,0.226,0
pay_000281,cust_00404,1352.23,netbanking,HDFC,temporary_bank_failure,1,5,4,0.514,1
pay_000282,cust_02200,3003.85,card,HDFC,network_error,0,17,5,0.125,1
pay_000283,cust_02102,1650.48,wallet,SBI,bank_timeout,2,1,0,0.246,0
pay_000284,cust_01697,1455.13,card,SBI,invalid_card,0,8,3,0.135,0
pay_000285,cust_00628,2109.58,card,SBI,account_closed,1,5,5,0.121,0
pay_000286,cust_00587,1846.89,upi,ICICI,insufficient_funds,2,16,12,0.046,1
pay_000287,cust_01649,1460.31,upi,KOTAK,network_error,1,10,10,0.303,0
pay_000288,cust_01444,1729.78,upi,SBI,network_error,2,3,3,0.356,0
pay_000289,cust_01446,2544.4,card,KOTAK,card_blocked,2,6,6,0.218,0
pay_000290,cust_00104,2692.58,card,AXIS,network_error,2,14,14,0.099,1
pay_000291,cust_00254,1871.86,upi,HDFC,bank_timeout,0,16,10,0.04,0
pay_000292,cust_02558,2971.28,card,ICICI,insufficient_funds,1,11,11,0.537,0
pay_000293,cust_01497,1287.87,card,KOTAK,network_error,1,12,12,0.155,0
pay_000294,cust_00099,10720.46,upi,HDFC,card_blocked,1,12,0,0.104,0
pay_000295,cust_02201,5934.1,upi,ICICI,insufficient_funds,2,7,3,0.265,0
pay_000296,cust_01885,3327.43,card,HDFC,card_blocked,0,6,6,0.183,0
pay_000297,cust_02962,382.5,card,SBI,invalid_card,0,3,2,0.139,0
pay_000298,cust_01920,2936.04,card,SBI,expired_card,0,2,2,0.267,0
pay_000299,cust_00878,1381.18,card,HDFC,account_closed,0,16,8,0.255,0
pay_000300,cust_00338,826.38,upi,ICICI,insufficient_funds,2,15,15,0.331,0
pay_000301,cust_02870,1353.33,netbanking,HDFC,bank_timeout,2,18,4,0.122,0
pay_000302,cust_00957,903.01,card,AXIS,gateway_timeout,0,1,1,0.073,1
pay_000303,cust_01705,2712.0,card,ICICI,network_error,0,13,4,0.216,1
pay_000304,cust_00161,6586.62,card,ICICI,gateway_timeout,1,15,15,0.222,1
pay_000305,cust_01604,3501.07,netbanking,HDFC,insufficient_funds,2,16,4,0.019,0
pay_000306,cust_02849,16481.93,card,KOTAK,bank_timeout,0,3,3,0.218,1
pay_000307,cust_00398,521.71,wallet,HDFC,bank_timeout,2,7,7,0.203,0
pay_000308,cust_01301,1206.13,card,KOTAK,bank_timeout,1,8,6,0.278,0
pay_000309,cust_00816,850.29,card,ICICI,account_closed,0,15,2,0.063,0
pay_000310,cust_01528,4834.31,card,SBI,invalid_card,2,15,7,0.215,0
pay_000311,cust_01920,1515.59,upi,SBI,invalid_card,2,16,16,0.286,1
pay_000312,cust_01416,2104.04,upi,HDFC,temporary_bank_failure,2,2,2,0.201,0
pay_000313,cust_01159,3001.74,upi,KOTAK,network_error,2,16,4,0.175,0
pay_000314,cust_01219,564.63,card,HDFC,bank_timeout,2,17,5,0.239,0
pay_000315,cust_00401,1099.84,card,AXIS,insufficient_funds,2,17,5,0.187,0
pay_000316,cust_00640,4015.08,card,HDFC,gateway_timeout,1,5,5,0.095,1
pay_000317,cust_02736,1166.23,card,HDFC,account_closed,2,5,5,0.262,0
pay_000318,cust_00460,459.02,card,HDFC,expired_card,1,0,0,0.194,1
pay_000319,cust_00955,878.48,upi,HDFC,bank_timeout,1,15,13,0.423,0
